thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,10,100% multi-capsid morphotype,1,12,18,2.9681360038314244
0.2,10,100% multi-capsid morphotype,1,13,18,3.318349251426449
0.2,10,100% multi-capsid morphotype,1,14,18,3.1434986151634354
0.2,10,100% multi-capsid morphotype,1,15,18,4.168734134958696
0.2,10,100% multi-capsid morphotype,1,16,18,2.642513124520526
0.2,10,100% multi-capsid morphotype,1,17,18,3.0187688289346366
0.2,10,100% multi-capsid morphotype,1,18,18,4.5029019955660115
0.2,10,100% multi-capsid morphotype,1,19,18,3.2934943757550523
0.2,10,100% multi-capsid morphotype,1,20,18,2.699871564387448
0.2,10,100% multi-capsid morphotype,2,1,18,3.6060944661081873
0.2,10,100% multi-capsid morphotype,2,2,18,2.110166453284891
0.2,10,100% multi-capsid morphotype,2,3,18,2.925026543001989
0.2,10,100% multi-capsid morphotype,2,4,18,3.1991140926952357
0.2,10,100% multi-capsid morphotype,2,5,18,3.6873552393310605
0.2,10,100% multi-capsid morphotype,2,6,18,2.311513648964267
0.2,10,100% multi-capsid morphotype,2,7,18,3.060872429951855
0.2,10,100% multi-capsid morphotype,2,8,18,2.2483978016950186
0.2,10,100% multi-capsid morphotype,2,9,18,2.5338309776411547
0.2,10,100% multi-capsid morphotype,2,10,18,3.1993946680283183
0.2,10,100% multi-capsid morphotype,2,11,18,2.712290395143024
0.2,10,100% multi-capsid morphotype,2,12,18,2.9768404692774304
0.2,10,100% multi-capsid morphotype,2,13,18,3.582040523417425
0.2,10,100% multi-capsid morphotype,2,14,18,2.8667780260873745
0.2,10,100% multi-capsid morphotype,2,15,18,2.845484298707108
0.2,10,100% multi-capsid morphotype,2,16,18,3.01661692877858
0.2,10,100% multi-capsid morphotype,2,17,18,2.6225167803638763
0.2,10,100% multi-capsid morphotype,2,18,18,3.0501513252833736
0.2,10,100% multi-capsid morphotype,2,19,18,3.1484125909765406
0.2,10,100% multi-capsid morphotype,2,20,18,3.006174450435434
0.2,10,100% multi-capsid morphotype,3,1,18,4.662825834855256
0.2,10,100% multi-capsid morphotype,3,2,18,4.339466824972601
0.2,10,100% multi-capsid morphotype,3,3,18,4.051738677349163
0.2,10,100% multi-capsid morphotype,3,4,18,3.758511963237231
0.2,10,100% multi-capsid morphotype,3,5,18,5.011888595466917
0.2,10,100% multi-capsid morphotype,3,6,18,3.4680299947388185
0.2,10,100% multi-capsid morphotype,3,7,18,4.257035525306679
0.2,10,100% multi-capsid morphotype,3,8,18,3.4827902465224323
0.2,10,100% multi-capsid morphotype,3,9,18,3.8609540156915423
0.2,10,100% multi-capsid morphotype,3,10,18,3.2172402929114123
0.2,10,100% multi-capsid morphotype,3,11,18,3.306170466975815
0.2,10,100% multi-capsid morphotype,3,12,18,3.476894939076837
0.2,10,100% multi-capsid morphotype,3,13,18,3.3426625456732246
0.2,10,100% multi-capsid morphotype,3,14,18,3.578649027937528
0.2,10,100% multi-capsid morphotype,3,15,18,3.4314082551562786
0.2,10,100% multi-capsid morphotype,3,16,18,4.102585932181356
0.2,10,100% multi-capsid morphotype,3,17,18,3.9778130202346333
0.2,10,100% multi-capsid morphotype,3,18,18,4.90362029875982
0.2,10,100% multi-capsid morphotype,3,19,18,3.4538200334254
0.2,10,100% multi-capsid morphotype,3,20,18,2.804203884344469
0.2,50,100% multi-capsid morphotype,1,1,18,3.3293279746250946
0.2,50,100% multi-capsid morphotype,1,2,18,3.546065886057566
0.2,50,100% multi-capsid morphotype,1,3,18,4.143595634838273
0.2,50,100% multi-capsid morphotype,1,4,18,3.232845963673084
0.2,50,100% multi-capsid morphotype,1,5,18,4.574406546672934
0.2,50,100% multi-capsid morphotype,1,6,18,3.1151980694673056
0.2,50,100% multi-capsid morphotype,1,7,18,3.1008430866294865
0.2,50,100% multi-capsid morphotype,1,8,18,3.3756516448240665
0.2,50,100% multi-capsid morphotype,1,9,18,3.389408037313899
0.2,50,100% multi-capsid morphotype,1,10,18,4.561006273272317
0.2,50,100% multi-capsid morphotype,1,11,18,3.553263431869234
0.2,50,100% multi-capsid morphotype,1,12,18,3.294611920266556
0.2,50,100% multi-capsid morphotype,1,13,18,4.6152706223313755
0.2,50,100% multi-capsid morphotype,1,14,18,3.8112389525676367
0.2,50,100% multi-capsid morphotype,1,15,18,4.3627068305695875
0.2,50,100% multi-capsid morphotype,1,16,18,3.379356483528421
0.2,50,100% multi-capsid morphotype,1,17,18,2.5048907658278416
0.2,50,100% multi-capsid morphotype,1,18,18,4.11679616175118
0.2,50,100% multi-capsid morphotype,1,19,18,3.7719101154593213
0.2,50,100% multi-capsid morphotype,1,20,18,2.7089702380865903
0.2,50,100% multi-capsid morphotype,2,1,18,3.1134442200399417
0.2,50,100% multi-capsid morphotype,2,2,18,3.4188178162554244
0.2,50,100% multi-capsid morphotype,2,3,18,3.1058170505430525
0.2,50,100% multi-capsid morphotype,2,4,18,2.944805253847231
0.2,50,100% multi-capsid morphotype,2,5,18,2.579115926373536
0.2,50,100% multi-capsid morphotype,2,6,18,3.671429551975549
0.2,50,100% multi-capsid morphotype,2,7,18,2.922150100071053
0.2,50,100% multi-capsid morphotype,2,8,18,2.800977702987115
