model,mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params,level,morph,tree,isolate,param,mod_names,desc
3,3.388101548,0.900752596,0.006433831,2.838303635,4.057031761,1.321923924,4.81738818,C_S[4],isolate,SNPV,NA,9,C,mod53,nu and C vary by morph
3,3.38301043,0.889533191,0.006384378,2.833708585,4.038453632,1.364335615,4.812739796,C_S[5],isolate,SNPV,NA,10,C,mod53,nu and C vary by morph
3,3.390956076,0.889653198,0.006188944,2.845559395,4.049615545,1.391404673,4.829203459,C_S[5],isolate,SNPV,NA,10,C,mod63,nu and C vary by morph
3,2.940308014,0.712335872,0.005522226,2.461455469,3.44196678,1.486449941,4.253732486,muC_M,grand,MNPV,NA,NA,C,mod35,nu and C vary by morph
3,0.007484241,0.005329548,3.32e-5,0.00407325,0.009298678,0.001840771,0.021291285,nu_bar_M[1],isolate,MNPV,NA,1,nu,mod35,nu and C vary by morph
3,0.010621315,0.007006749,5.01e-5,0.006067156,0.013053851,0.003057737,0.02904274,nu_bar_M[2],isolate,MNPV,NA,2,nu,mod35,nu and C vary by morph
3,0.004899905,0.004364259,2.57e-5,0.002061817,0.006251388,7.41e-4,0.016461196,nu_bar_M[3],isolate,MNPV,NA,3,nu,mod35,nu and C vary by morph
3,0.013059824,0.008415744,6.2e-5,0.007589014,0.015969419,0.003931663,0.034835522,nu_bar_M[4],isolate,MNPV,NA,4,nu,mod35,nu and C vary by morph
3,0.012405234,0.007386031,5.78e-5,0.007714286,0.014802114,0.004596732,0.031619868,nu_bar_M[5],isolate,MNPV,NA,5,nu,mod35,nu and C vary by morph
3,2.90369681,1.028243685,0.006964457,2.214115793,3.662607514,0.742941604,4.720538009,C_M[1],isolate,MNPV,NA,1,C,mod35,nu and C vary by morph
3,2.871725704,1.011706437,0.007250564,2.199942488,3.600767041,0.712904845,4.680576295,C_M[2],isolate,MNPV,NA,2,C,mod35,nu and C vary by morph
3,3.268949529,1.008519098,0.006726997,2.60790165,4.047206303,1.039537669,4.868682243,C_M[3],isolate,MNPV,NA,3,C,mod35,nu and C vary by morph
3,3.030925331,0.875231746,0.006263428,2.457214845,3.653331092,1.202609754,4.630014917,C_M[4],isolate,MNPV,NA,4,C,mod35,nu and C vary by morph
3,2.518214106,0.994536354,0.007341163,1.840953904,3.224848718,0.489746286,4.392602734,C_M[5],isolate,MNPV,NA,5,C,mod35,nu and C vary by morph
3,0.005858722,0.003648622,2.32e-5,0.003249239,0.007749346,6.68e-4,0.014773445,mu_S,grand,SNPV,NA,NA,nu,mod73,nu and C vary by morph
3,0.008374582,0.004278921,2.88e-5,0.005425418,0.010739181,0.001383512,0.018400392,mu_M,grand,MNPV,NA,NA,nu,mod35,nu and C vary by morph
3,0.007480391,0.00530499,3.54e-5,0.004036044,0.009304389,0.001813216,0.021177019,nu_bar_M[1],isolate,MNPV,NA,1,nu,mod36,nu and C vary by morph
3,0.010625324,0.006940413,4.87e-5,0.006092111,0.013032952,0.003097017,0.029036966,nu_bar_M[2],isolate,MNPV,NA,2,nu,mod36,nu and C vary by morph
3,0.004858911,0.004224546,2.61e-5,0.002060643,0.006258208,7.37e-4,0.016129033,nu_bar_M[3],isolate,MNPV,NA,3,nu,mod36,nu and C vary by morph
3,0.012985225,0.008097573,6.15e-5,0.007610492,0.015936821,0.003940602,0.033861681,nu_bar_M[4],isolate,MNPV,NA,4,nu,mod36,nu and C vary by morph
3,0.012298915,0.007229627,5.51e-5,0.00771252,0.014659698,0.004549918,0.030900458,nu_bar_M[5],isolate,MNPV,NA,5,nu,mod36,nu and C vary by morph
3,2.901974767,1.028501664,0.007429735,2.20594047,3.656927388,0.737968749,4.734172772,C_M[1],isolate,MNPV,NA,1,C,mod36,nu and C vary by morph
3,2.868895651,1.000230697,0.007422307,2.201307692,3.595981597,0.744677245,4.647407201,C_M[2],isolate,MNPV,NA,2,C,mod36,nu and C vary by morph
3,3.262434788,1.002670298,0.00729632,2.603036596,4.031185482,1.069368799,4.867600035,C_M[3],isolate,MNPV,NA,3,C,mod36,nu and C vary by morph
3,3.034404459,0.871808125,0.006446532,2.467217959,3.64330787,1.201817025,4.644019972,C_M[4],isolate,MNPV,NA,4,C,mod36,nu and C vary by morph
3,2.511540837,0.991754738,0.007478387,1.827823211,3.2199438,0.505331925,4.362358515,C_M[5],isolate,MNPV,NA,5,C,mod36,nu and C vary by morph
3,3.600639926,0.909297641,0.006048882,3.055582784,4.296963113,1.464401546,4.911350156,C_S[2],isolate,SNPV,NA,7,C,mod63,nu and C vary by morph
3,0.008390944,0.004238027,2.97e-5,0.005462743,0.010752824,0.001424239,0.018195326,mu_M,grand,MNPV,NA,NA,nu,mod36,nu and C vary by morph
3,2.935629611,0.711108547,0.005830975,2.45165807,3.439006765,1.494131557,4.255102799,muC_M,grand,MNPV,NA,NA,C,mod36,nu and C vary by morph
3,3.429904744,0.675158217,0.005316007,2.991443046,3.923926321,1.96888422,4.576483091,muC_S,grand,SNPV,NA,NA,C,mod73,nu and C vary by morph
3,0.004248309,0.004029957,2.23e-5,0.001685422,0.005444076,5.11e-4,0.014978068,nu_bar_S[1],isolate,SNPV,NA,6,nu,mod73,nu and C vary by morph
3,0.008346343,0.004259362,2.94e-5,0.005404592,0.010723142,0.001390094,0.018258459,mu_M,grand,MNPV,NA,NA,nu,mod37,nu and C vary by morph
3,2.921799018,0.712052436,0.005944696,2.444455383,3.429379218,1.476434045,4.235644126,muC_M,grand,MNPV,NA,NA,C,mod37,nu and C vary by morph
3,0.007407265,0.005140868,3.31e-5,0.004057713,0.009194212,0.00180237,0.020712775,nu_bar_M[1],isolate,MNPV,NA,1,nu,mod37,nu and C vary by morph
3,0.010498145,0.00691711,5.1e-5,0.006033327,0.012863284,0.003030239,0.028397805,nu_bar_M[2],isolate,MNPV,NA,2,nu,mod37,nu and C vary by morph
3,0.004842097,0.004279404,2.65e-5,0.002047725,0.006222919,7.26e-4,0.016289846,nu_bar_M[3],isolate,MNPV,NA,3,nu,mod37,nu and C vary by morph
3,0.012889281,0.008140595,6.3e-5,0.007526409,0.015731735,0.003921154,0.034076679,nu_bar_M[4],isolate,MNPV,NA,4,nu,mod37,nu and C vary by morph
