sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,pdoug,sigma,mean_MNPV,sd,q1,q9,pset
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,7,1,0.4142253962062035,0.030003958771394702,0.3554615218672568,0.47408652318012284,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,13,0.75,0.392097978462231,0.03130457387047675,0.3318140833972426,0.45069093876549127,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,22,0.5,0.3495183453998973,0.0402365131347933,0.27194212852939964,0.4275023693787271,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,8,1,0.41327943129449274,0.03025014348427326,0.3516908885948357,0.47378635847930894,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,33,0.5,0.4311605008601165,0.08921604923046167,0.27841781756836087,0.6432172304992527,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,32,0.75,0.4164760642667801,0.07938258897625113,0.27606073932529535,0.5959925990121452,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,11,0.75,0.3947562121628953,0.029278009502498085,0.3380555848104757,0.452907806475333,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,1,0.4127364267880801,0.03128378190037216,0.35430075656398247,0.4755413961269401,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,7,0.75,0.4002456798604944,0.02782282927841657,0.3466495074671101,0.455734922841352,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,33,0.75,0.4311915425787255,0.08675535859672175,0.28451710898197974,0.6248627043265449,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,31,0.5,0.400728798247422,0.0767739582859162,0.2660519993077715,0.5737266044768983,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,10,1,0.41103874368367954,0.03178795422116082,0.34889155651781734,0.4716312007708665,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,30,0.75,0.39668616565727555,0.06478630454034015,0.28085291293316983,0.5423587680740848,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,32,0.5,0.4161205486300364,0.08499041302173528,0.2682473446611457,0.6137132722881455,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,12,0.05,0.3227705404907562,0.024909707665901077,0.2724178810618469,0.37262037071496784,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.75,0.3971474353373841,0.028871687589390904,0.3391778836464263,0.45190516468878,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,29,0.5,0.3680008511345229,0.0602552036869747,0.2569186543382801,0.4960393875187761,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,15,0.75,0.3874400582994113,0.03314777692412726,0.320274792301123,0.4506957619780452,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0,0.3445203804761285,0.024666584069788288,0.29762975252947277,0.3908060689331187,9
