phiS,phiM,lambda,rho,sigma,ll,pset
56.075517206921155,30.681627683227692,1.3693881312982426,0.03444706444701735,0,-575.2807886795514,2
60.512294510970285,25.865740940507152,1.384135790226507,0.01029992703071328,0.5,-575.3423919443677,5
56.075517206921155,30.681627683227692,1.3693881312982426,0.03959746219104017,0,-575.527694087993,7
56.075517206921155,31.67674435975672,1.3693881312982426,0.03444706444701735,0,-575.5955394697406,30
56.59213856900189,30.08062455953186,1.3675457637228023,0.03631476164413428,0,-575.6024559048751,13
56.075517206921155,31.67674435975672,1.3693881312982426,0.03444706444701735,0.25,-575.7916256270461,30
56.59213856900189,30.08062455953186,1.3675457637228023,0.03631476164413428,0.5,-575.8052302795239,13
56.075517206921155,30.681627683227692,1.3693881312982426,0.01988852863305654,0.05,-575.8833308098885,3
56.59213856900189,30.08062455953186,1.3675457637228023,0.0193585079818221,0.05,-576.0964156272614,6
60.512294510970285,34.93118244405388,1.384135790226507,0.0102087444499767,0.25,-576.1653308881038,15
56.075517206921155,30.681627683227692,1.3693881312982426,0.01030626425311275,0.05,-576.1844567415521,12
56.075517206921155,30.681627683227692,1.3693881312982426,0.0102281673560298,0.05,-576.3746451524528,1
56.59213856900189,30.08062455953186,1.3675457637228023,0.0225313952375919,0.05,-576.3842710586604,9
53.64990513491859,25.05916944916113,1.363075327572272,0.02030345322615983,0.5,-576.3847087549482,14
56.075517206921155,30.681627683227692,1.3693881312982426,0.06297637950650162,0,-576.4363037761441,27
60.512294510970285,37.05331982541312,1.384135790226507,0.0102087444499767,0,-576.4674528035875,19
56.075517206921155,30.681627683227692,1.3693881312982426,0.01016911108713766,0.05,-576.4949871260583,4
60.512294510970285,25.865740940507152,1.384135790226507,0.0102087444499767,0.5,-576.5144584779016,8
56.075517206921155,30.681627683227692,1.3693881312982426,0.01884198898563966,0.05,-576.5883906690237,22
60.89092110522985,26.33452635888712,1.3893974822737925,0.01453566471215474,0.5,-576.6231227844875,29
56.075517206921155,30.681627683227692,1.3693881312982426,0.03444706444701735,0.05,-576.632561246016,2
56.075517206921155,30.681627683227692,1.3693881312982426,0.01422141543691309,0.05,-576.6655960457925,18
56.075517206921155,30.681627683227692,1.3693881312982426,0.03959746219104017,0.05,-576.7063456165506,7
56.59213856900189,30.08062455953186,1.3675457637228023,0.03631476164413428,0.05,-576.7427212920917,13
56.075517206921155,30.681627683227692,1.3693881312982426,0.01606032518740647,0.05,-576.8060501107793,16
53.64990513491859,25.05916944916113,1.363075327572272,0.02030345322615983,0.05,-576.8593515329192,14
60.89092110522985,26.33452635888712,1.3863360067221393,0.02963703138338122,0.5,-576.9599770830956,23
56.075517206921155,30.681627683227692,1.3693881312982426,0.06297637950650162,0.05,-577.0163071826419,27
56.075517206921155,31.67674435975672,1.3693881312982426,0.03444706444701735,0.05,-577.0944662052418,30
56.075517206921155,30.681627683227692,1.3693881312982426,0.01422141543691309,0.5,-577.3225748323788,18
56.22292945972215,30.65190652953976,1.3892236935043132,0.01031016677235153,0.5,-577.4674260835476,17
60.512294510970285,25.865740940507152,1.384135790226507,0.01860017830953479,0.5,-577.6128814343722,24
56.22292945972215,30.65190652953976,1.3892236935043132,0.02194771109793109,0.5,-578.3013535650339,20
60.89092110522985,26.33452635888712,1.3893974822737925,0.01017970036876513,0,-578.797288772679,21
53.64990513491859,25.05916944916113,1.363075327572272,0.02030345322615983,0,-579.2187383798502,14
60.89092110522985,26.33452635888712,1.3893974822737925,0.01453566471215474,0,-579.448148833777,29
56.075517206921155,31.67674435975672,1.3693881312982426,0.03444706444701735,0.5,-579.4540402813941,30
60.512294510970285,37.05331982541312,1.384135790226507,0.0102087444499767,0.25,-579.5062445907813,19
60.89092110522985,34.36875917808077,1.3893974822737925,0.02963703138338122,0.5,-579.5517193626382,11
56.22292945972215,30.65190652953976,1.3892236935043132,0.01020466734618522,0.05,-579.6586237907696,28
56.22292945972215,30.65190652953976,1.3892236935043132,0.01031016677235153,0.05,-579.6641301081834,17
60.512294510970285,34.93118244405388,1.384135790226507,0.0102087444499767,0.05,-579.9881622750254,15
56.075517206921155,36.117834123519096,1.3693881312982426,0.01988852863305654,0,-580.1102848407688,26
56.22292945972215,30.65190652953976,1.3892236935043132,0.02194771109793109,0.05,-580.1134849457258,20
56.075517206921155,30.681627683227692,1.3693881312982426,0.06297637950650162,0.5,-580.1718008345614,27
56.075517206921155,30.681627683227692,1.3693881312982426,0.03959746219104017,0.5,-580.3683766104513,7
60.512294510970285,25.865740940507152,1.384135790226507,0.0102087444499767,0,-580.4487125273822,8
60.512294510970285,25.865740940507152,1.384135790226507,0.01029992703071328,0,-580.5630031250556,5
60.89092110522985,26.33452635888712,1.3893974822737925,0.02963703138338122,0,-580.6800424754298,10
60.89092110522985,34.36875917808077,1.3893974822737925,0.02963703138338122,0.05,-580.9816351954777,11
60.89092110522985,26.33452635888712,1.3863360067221393,0.02963703138338122,0,-581.0321646820853,23
60.512294510970285,25.865740940507152,1.384135790226507,0.01860017830953479,0,-581.4364386144705,24
60.512294510970285,37.05331982541312,1.384135790226507,0.0102087444499767,0.5,-581.5866589099288,19
56.22292945972215,30.65190652953976,1.3892236935043132,0.01020466734618522,0.5,-581.9072256882016,28
56.075517206921155,36.117834123519096,1.3693881312982426,0.01988852863305654,0.5,-582.9657798243304,26
60.512294510970285,37.05331982541312,1.384135790226507,0.0102087444499767,0.05,-582.9855691240235,19
56.075517206921155,36.117834123519096,1.3693881312982426,0.01988852863305654,0.05,-583.5365038223085,26
56.075517206921155,36.117834123519096,1.3693881312982426,0.01988852863305654,0.25,-583.8273551736032,26
60.89092110522985,26.33452635888712,1.3893974822737925,0.01017970036876513,0.05,-586.2990010596907,21
60.89092110522985,26.33452635888712,1.3893974822737925,0.01453566471215474,0.05,-586.5335417175637,29
60.512294510970285,25.865740940507152,1.384135790226507,0.0102087444499767,0.05,-586.6128872052307,8
60.512294510970285,25.865740940507152,1.384135790226507,0.01029992703071328,0.05,-586.6905612663439,5
60.89092110522985,26.33452635888712,1.3863360067221393,0.02963703138338122,0.05,-586.9211058903937,23
60.89092110522985,26.33452635888712,1.3893974822737925,0.02963703138338122,0.05,-587.056825746064,10
60.512294510970285,25.865740940507152,1.384135790226507,0.01860017830953479,0.05,-587.17617919607,24
56.59213856900189,30.08062455953186,1.3675457637228023,0.0225313952375919,0.75,-595.5256502139276,9
56.59213856900189,30.08062455953186,1.3675457637228023,0.03631476164413428,0.75,-604.3271639338487,13
56.59213856900189,30.08062455953186,1.3675457637228023,0.0193585079818221,0.75,-612.2694592526309,6
56.075517206921155,30.681627683227692,1.3693881312982426,0.0102281673560298,0.75,-617.1428676179619,1
56.075517206921155,30.681627683227692,1.3693881312982426,0.01422141543691309,0.75,-618.8744521978251,18
60.512294510970285,25.865740940507152,1.384135790226507,0.0102087444499767,0.75,-620.8224128834844,8
56.075517206921155,30.681627683227692,1.3693881312982426,0.01988852863305654,0.75,-620.8227055060602,3
