sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,pdoug,sigma,mean_MNPV,sd,q1,q9,pset
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,20,0.05,0.23129116482493722,0.022139313700394028,0.19131672257062882,0.27797160435599655,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,6,0.75,0.37182628863308487,0.029366186666117032,0.3197574179459058,0.4337107683877382,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,30,0,0.3792167640091533,0.040148443634716806,0.2951375290454914,0.4491754497843277,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,14,0,0.2644315835140519,0.027564983826081177,0.20940868367422563,0.3148065027919249,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,11,0.5,0.34692217720667595,0.030023584863357235,0.2890387302913406,0.4086789215399668,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,30,0.25,0.4192604291189352,0.07515963044232896,0.2780880402639982,0.5673936869556584,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,17,0.75,0.38034565258952097,0.036773617759700054,0.30914939696292554,0.4553092147004122,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,1,0.25,0.34510815607229545,0.019759382952066473,0.305890054617416,0.38272855035198955,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,36,0,0.7114227692183145,0.019670215925013237,0.6715498922899662,0.7465284108802936,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,32,0,0.4311509554788221,0.04744341204775011,0.3443334672474204,0.5070523680864076,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,19,0.05,0.23397960158788725,0.023295611410709353,0.19324268640742953,0.2810414278935381,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,5,0.75,0.3715429036051316,0.028874230848589463,0.31578768482765207,0.42959239234192625,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,29,0,0.3395858086726818,0.0392267921195756,0.2698822074418276,0.42119805380977915,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,17,0,0.2499140881021219,0.028181927148305173,0.19747377970717656,0.3037142752860948,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,3,0.25,0.33794624212702074,0.020358466924277816,0.29676214547648616,0.3762814804272976,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,29,0.25,0.40104634996048166,0.06994495897286099,0.2753851856189138,0.5374495543830492,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,16,0.75,0.3783700860136513,0.036905058562807055,0.3079001717341309,0.45392668626372823,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,8,0.05,0.285589582979342,0.02598235752158361,0.23548372190156003,0.3369721347157327,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,1,0,0.2961384957353415,0.022643590098358812,0.258101103752459,0.34976928801204205,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,20,0.5,0.3530688441603404,0.045774532925979106,0.2651923225584021,0.44934541481287144,4
