sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma,ll,pset
0.7948893289737586,959.121447716479,4.3347229392848545,47.915846683556914,16.89218956839318,0.1534741507594238,0.75,-316.6670307250435,27
1.000804869852563e-4,812.0733405777697,0.9462589789581456,109.86919532127214,33.94185073330471,0.11581246622097084,0.05,-316.9162711331816,15
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,40.51942020493972,0.10067383568546212,0.5,-317.41832832356954,8
1.000804869852563e-4,812.0733405777697,0.9462589789581456,109.86919532127214,33.94185073330471,0.11581246622097084,0.75,-317.59074373107944,15
1.0775658661152156e-5,1395.5986117629925,8.564644579519276,60.65752812293519,36.25162671243939,0.10067383568546212,0.5,-318.029059616321,29
1.0833129829936772e-5,959.121447716479,4.3347229392848545,47.915846683556914,16.89218956839318,0.1534741507594238,0.5,-318.3568036836222,19
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,36.25162671243939,0.10067383568546212,0.25,-318.51265666434296,10
0.00291036077508224,157.03913026938844,0.1037521408098216,4.053302464783467,59.905552169439645,0.10061288381118626,0.5,-318.53555590846184,17
0.7948893289737586,959.121447716479,4.3347229392848545,47.915846683556914,16.89218956839318,0.1534741507594238,0.5,-319.01827926417764,27
1.0775658661152156e-5,1395.5986117629925,3.5814444634461404,60.65752812293519,36.25162671243939,0.10067383568546212,0.75,-319.60967184996935,14
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,26.685246305206014,0.10067383568546212,0.25,-319.6518384171253,24
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,30.671514273799406,0.10067383568546212,0.75,-320.0558134038294,4
1.0833129829936772e-5,959.121447716479,4.3347229392848545,47.915846683556914,16.89218956839318,0.1534741507594238,0.75,-320.12914509610715,19
1.10125709069195e-5,157.03913026938844,0.1037521408098216,4.053302464783467,59.905552169439645,0.10061288381118626,0.5,-320.34085148438953,18
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,36.25162671243939,0.10067383568546212,0.75,-320.84687056111136,10
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10081424951241856,0.75,-321.131973312828,21
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10070150637740025,0.75,-321.3852076735637,13
1.10125709069195e-5,157.03913026938844,0.1037521408098216,4.053302464783467,59.905552169439645,0.10061288381118626,0.75,-321.61013623296174,18
1.2219250837789766,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.75,-321.76230133374503,9
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,41.41908397847655,0.10067383568546212,0.5,-321.9265202983949,12
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.11581246622097084,0.75,-321.9561495520311,5
