Year,S,Z1,Z2,FracI1,FracI2,nu1,nu2,fecundity,rep,pdoug,sigma,phi
10,19.94479396898194,10.054939981485814,0.02948464878729943,0.15885588472790352,2.5945389106059e-4,0.49844256838247497,0.00405935057382107,9.359950790637258,9,7,0.5,30
11,23.745427755676943,202.7147050680132,0.09191432076347356,0.3230308082787679,1.351900502636e-4,0.01963852048603779,0.00569689455257722,0.6864040062198253,9,7,0.5,30
12,2.176460310832179,252.01412878316208,0.527085661415046,0.28625481342435616,6.402625540671e-4,5.5690015537378e-4,0.01038378897522865,0.2766805252274164,9,7,0.5,30
13,0.6992525950820335,57.323191888708656,0.7678374071099189,0.09984236810989656,0.00908651836059852,2.8318709157691e-4,0.03466286820090903,0.31354191118465186,9,7,0.5,30
14,0.18127094020678897,11.988886352519728,1.107775951489001,0.02339462631483259,0.04098330046485543,5.052839416136e-4,0.1310228655817351,0.4684373258358102,9,7,0.5,30
15,0.03805442740628369,2.4512482509967213,0.92804890885472,0.00917057331898857,0.11923350210897188,0.0013754668432325,0.21546145312951423,0.6062450276929704,9,7,0.5,30
16,0.04896857900233624,0.4966924439627244,0.34757095770360935,0.0052701360620917,0.1343946821834848,0.00617575940035448,0.2858891825928085,0.8736455757817314,9,7,0.5,30
17,0.2783571780316736,0.10775395268755604,0.20635094303602047,0.00535115330168385,0.08925937749114979,0.04598704813605638,0.5527092913405418,2.4041881080030687,9,7,0.5,30
18,2.09002712166132,0.09945714408197048,0.9226196729925908,0.00882321536713953,0.10011533672385708,0.4508756554845355,0.7056456148910906,11.005278410078242,9,7,0.5,30
19,24.508280515602053,5.321920989994677,13.257939544670489,0.07640402196123589,0.20194406641658835,1.1282694032999754,0.1710087156636006,20.93772703808971,9,7,0.5,30
20,11.73740517301512,234.68435795082203,138.17325552089116,0.3064969570006798,0.1837312706659221,0.02525401831296398,0.00685848672582791,0.7741085035469412,9,7,0.5,30
21,1.5463187204626383,147.85995423809018,82.81930158371009,0.2772103897731149,0.15912606147013575,4.2958867962937e-4,5.3528508238308e-4,0.2330507521534996,9,7,0.5,30
22,0.2874719259698025,32.649664729792654,18.52726181266336,0.06221474736186858,0.04260088564369063,4.4298359283697e-4,3.308740941645e-4,0.23521033213109377,9,7,0.5,30
23,0.0461997646628614,6.741249712205453,3.783692278608642,0.02282708475202341,0.00898582130771517,0.00148689704555842,3.6870707437831e-4,0.2775320639795858,9,7,0.5,30
24,0.0533715221976808,1.3743912229350712,0.7601328281961973,0.01743662497440024,0.00237065090156179,0.01064705579000966,5.8047211823478e-4,0.5016350896175705,9,7,0.5,30
25,0.2045346445019084,0.3180079616900049,0.15339693660293963,0.02489332314037853,8.0901207955837e-4,0.09753842978431908,0.00113897906979525,2.179232087454205,9,7,0.5,30
26,4.404312544185927,0.3716682499329885,0.03281969395568292,0.04747659763140317,3.3295392496683e-4,0.6953301163168852,0.00238504661549986,13.335613762051842,9,7,0.5,30
27,9.094291053133432,29.741732316375952,0.02390770238567598,0.2088760440611929,1.2778792906254e-4,0.30464143489739304,0.00396260154467281,5.683755380837265,9,7,0.5,30
28,1.3886172381894963,99.36917012733242,0.03210804657194408,0.33143240939263297,9.29710323160393e-5,0.00821712449151364,0.0054828075594205,0.4620750156726636,9,7,0.5,30
29,0.251800366591135,28.62485521843008,0.01744766206964274,0.19929815578379376,2.3844854006632e-4,0.00153586367965384,0.01173042494015302,0.32036192532347824,9,7,0.5,30
30,0.17658328074087434,6.159426789869659,0.00670249581177106,0.05324263408637188,3.8217802167013e-4,0.00379117745793999,0.04568944500054205,0.48133006708074066,9,7,0.5,30
31,0.2170328910859192,1.4370218936074544,0.00496592627962909,0.03562212984245536,6.1288986385771e-4,0.01662739382693108,0.25731787976653614,1.2723659327906698,9,7,0.5,30
32,2.945246664575856,0.5499418706179353,0.02179963042791969,0.03745413572856355,0.00282848300120441,0.07570241445997868,1.784430999552209,5.448362548536009,9,7,0.5,30
33,12.171354150378791,5.936636103246688,22.260649670604163,0.06087212794114195,0.2325553000786457,0.2486578060787067,0.8925355192592969,5.835652580878949,9,7,0.5,30
34,6.048274158383282,72.73415827440782,114.6822416000016,0.1820635002360695,0.324179251404251,0.03982258083420537,0.00552662483909827,1.0502963162764651,9,7,0.5,30
35,1.9412630980021028,61.50614214964992,47.57943230378228,0.2477776428770348,0.13957672871101817,0.00240808891025557,6.1235774893508e-4,0.2998667138349784,9,7,0.5,30
36,0.3732751349037421,18.785092591113084,11.37627718376354,0.10360619563379209,0.03128538943792193,0.00248791911053348,4.8383991802802e-4,0.30552017856447583,9,7,0.5,30
37,0.17883873709013626,4.443815271849596,2.373735670365444,0.05649376868660891,0.0084207214557961,0.00871790895878323,6.608931065368e-4,0.45777731456465337,9,7,0.5,30
38,0.15118522081716043,1.1902627768579206,0.4902184806573835,0.05169515662859483,0.00271574546659024,0.04790156944446655,0.00118555790101217,1.2330467997384202,9,7,0.5,30
39,0.7026544762106337,0.5722360254770994,0.1030811922198787,0.06869504876466065,0.00105017905318224,0.23296143172351072,0.00234467787840364,4.692990611904499,9,7,0.5,30
40,4.915711313578677,2.711206511104491,0.02972932901849759,0.11507840016010064,4.1563990582528e-4,0.5450146330399942,0.00447800503989454,10.384216779614343,9,7,0.5,30
41,4.2036752479728134,40.212505707521835,0.03250815123915199,0.25617563427862233,1.7263298154889e-4,0.0984404902742782,0.00702201763132326,2.128129898742246,9,7,0.5,30
42,1.9250626638168975,45.67912487682148,0.04120822465103307,0.2876409205290117,2.5091348655971e-4,0.00570501772613759,0.01270856048994536,0.4365380306540179,9,7,0.5,30
43,1.2658298863534392,17.591686312060716,0.06337184377017167,0.1368614361785551,8.5372951062384e-4,0.00376299427662945,0.042303862907977,0.4672357722425875,9,7,0.5,30
44,1.5750084013436296,6.427752012777673,0.24024853701724735,0.070555417219915,0.00531597475548594,0.007420682322729,0.22753817838162177,0.913419623688188,9,7,0.5,30
45,3.3024799537801335,4.134051340572038,4.554973264038086,0.05549081121365588,0.0849998423450602,0.01963446363079729,0.5391170233520395,1.6496375358440891,9,7,0.5,30
46,2.790958035077993,6.654215960804072,31.1793656956124,0.05420295863703229,0.30451665783293025,0.04949202566149419,0.04259173838199975,1.36188274128485,9,7,0.5,30
47,3.273567761968727,12.916246731830263,22.682792190212307,0.1282664529197299,0.20380772557557383,0.04392935532053619,0.00342357572682187,1.1399406890055457,9,7,0.5,30
48,2.5311531181969245,21.162609178035353,10.088855542267932,0.17803161402794088,0.05455718022457143,0.02312525253900106,0.0020217457628496,0.7407529307926097,9,7,0.5,30
49,0.43531292199144656,18.095947980907248,3.874366231554704,0.17167055400204873,0.02282308919204844,0.01302032057098118,0.00216860153740637,0.548053240125968,9,7,0.5,30
50,0.26372215454796105,5.471737457823562,0.9416860465597772,0.13210726255673116,0.01176415293085365,0.01498605341219181,0.0031435637427421,0.5979152565297714,9,7,0.5,30
51,0.28254681018901684,1.7938817889624674,0.23086930477433307,0.0816391313752112,0.00495159532609854,0.04952157957027057,0.00585064091854969,1.2896692161924392,9,7,0.5,30
52,0.75506861524709,1.160789097089222,0.06765452610508035,0.08790599639399037,0.0023450730518109,0.16984553780699957,0.01173302670834433,3.573775920453373,9,7,0.5,30
53,8.762957812139142,3.430476639955629,0.04520337521291105,0.13181649112532529,0.00129601965917638,0.28924683797073986,0.02315055353713394,5.794854684366851,9,7,0.5,30
54,9.959618273593357,67.06073748365692,0.5171706717207881,0.2391358899926263,0.00173507590966758,0.0640865485087883,0.04817678672898527,1.7129764607959943,9,7,0.5,30
55,3.252244777631905,102.80392713754532,10.297255516290646,0.2886226265099341,0.03026647718852209,0.00220584986259672,0.10512556825618372,0.5049407665262524,9,7,0.5,30
56,1.4978418486382892,30.47834066877944,25.94198966736245,0.0962336321441124,0.23714345178741536,0.0010154600341156,0.015895557806466402,0.29765019830508616,9,7,0.5,30
57,0.214709685895457,7.73480237205276,12.440936058974852,0.03379233610895425,0.16567343078392732,0.00256805422654557,0.00382309882275617,0.324171478441713,9,7,0.5,30
58,0.11929011272845388,1.7547655003633529,2.8103324075307294,0.02959015485004341,0.05058843234813776,0.01502415735018404,0.00352285984598476,0.6092926476514601,9,7,0.5,30
59,0.2658788937336391,0.5040428312907531,0.6178274043689982,0.03944156735273649,0.01493971569835117,0.10688725654146712,0.00551925256292334,2.3820828844441633,9,7,0.5,30
60,2.0646224963341684,0.6789112016687802,0.17287752777319695,0.06786904689010698,0.00585329254027208,0.5374686137040341,0.01038927583888014,10.41004001567661,9,7,0.5,30
61,12.98268530022882,12.350605680170728,0.21395951792001452,0.184684454614682,0.00273864941354493,0.3698811140465843,0.01806497178645454,7.088396977706425,9,7,0.5,30
62,9.057878737290416,126.6854734953684,2.1214747188859975,0.30716382829526445,0.00480492798061802,0.01831010254188683,0.03405070359288145,0.777142739366763,9,7,0.5,30
63,1.942608398765469,95.94620306291834,18.781860586020873,0.24995551256440468,0.06120420514228137,9.7824682529107e-4,0.04080235977256154,0.3529317154996007,9,7,0.5,30
64,0.32422761576718445,23.03648639643974,16.762548532705264,0.06221208550040934,0.21651496857912028,8.3973303681057e-4,0.00674403863281236,0.27363846992879864,9,7,0.5,30
65,0.05716612576121449,4.885739992806033,4.197177838402598,0.02655423067631835,0.08765097594086597,0.00291205828384743,0.00412699587797707,0.3369558646440419,9,7,0.5,30
66,0.04407780752872861,1.0204894639274589,0.8805480508587383,0.02325331735433384,0.02349437607303536,0.02100612275034881,0.00576107833192892,0.7456887014245959,9,7,0.5,30
67,0.22702847484547128,0.25266970188405397,0.18795509823464515,0.03412176997282407,0.00845242818060687,0.1696627743707246,0.01060271040149729,3.603645494927791,9,7,0.5,30
68,1.619486023248857,0.4825556394459809,0.06341432804947666,0.05997963950508805,0.00358389831488719,0.9899948492551148,0.02154651235693755,18.930578544433256,9,7,0.5,30
69,7.123845327948768,10.621075245613913,0.11779871563471342,0.20369668812868097,0.00202544359774275,0.49199280280805713,0.03829902176423028,9.347605339188878,9,7,0.5,30
70,2.859759187124284,70.61389778547179,1.329062547738015,0.3091798567318403,0.00546094581216905,0.02300740846568159,0.08620986944408897,1.0218366471738016,9,7,0.5,30
71,0.9819997744607456,34.45329002813509,7.874641857403216,0.2274141714959711,0.08101285323709331,0.00204944955518468,0.11058237263511445,0.4928378218053906,9,7,0.5,30
72,0.0984921217782135,8.527888930038324,8.36991845497334,0.05197707762745914,0.2258050126846432,0.00316483666843164,0.02230623772045427,0.383458516223807,9,7,0.5,30
73,0.09283415279096484,1.8155229925000844,2.0077178425548947,0.03420140645024274,0.114167557702519,0.01473302208753771,0.01175830334052132,0.6350180469209641,9,7,0.5,30
74,0.3381581455881813,0.48138246030821974,0.4848378991876485,0.03921922248794429,0.02890647795367848,0.10084670794308344,0.01552060993510949,2.3305760867841614,9,7,0.5,30
75,4.621791864798467,0.7845280135920254,0.22405647384775648,0.06359879204852015,0.01172792521302385,0.5338666574026476,0.02703058802132904,10.469817171803136,9,7,0.5,30
76,26.158520761820995,31.235047056763985,1.4789399820210083,0.20997873324877897,0.00944771666798199,0.2189928887873651,0.04570766626764442,4.470162945450039,9,7,0.5,30
77,12.896954990692644,263.5422165829818,57.74751347813597,0.31730835747656083,0.06585675081974988,0.00532642417538489,0.03462738821147781,0.468045059971786,9,7,0.5,30
78,0.7760279813165029,126.58919265955916,106.87253814995952,0.1833161106702819,0.24632200887023867,3.3756115994605e-4,0.00179526886437838,0.2331835100330101,9,7,0.5,30
79,0.07384883541834132,26.4173367581869,23.831333263464582,0.04434099206677257,0.11034337809352324,3.9660233707104e-4,5.4987470801168e-4,0.2341497619003388,9,7,0.5,30
80,0.03528713811248794,5.324462430702189,4.803742696819401,0.01724887771592169,0.01726564792143719,0.001427188061109,5.5037750529461e-4,0.2767476668540634,9,7,0.5,30
81,0.03923984795367472,1.08045738703088,0.965374683525796,0.01360529010752812,0.00430292400149413,0.01090929717824823,8.3403722507348e-4,0.509197893968872,9,7,0.5,30
82,0.08734993965495644,0.24248396813996076,0.19487231830165905,0.02073269129046155,0.00145202422746411,0.10729494144017795,0.00161310530718588,2.3684893085457492,9,7,0.5,30
83,3.6747103840037543,0.16278224011396852,0.0406188239358025,0.04139088072925578,5.9972685246827e-4,0.8439689833204266,0.00338895412276063,16.128675251073094,9,7,0.5,30
84,17.85563390143269,23.785574519256343,0.035358479878323,0.1985814420004417,2.4003625716778e-4,0.437743883750956,0.00574159087921805,7.948128568235957,9,7,0.5,30
85,6.7200175683294665,194.9801645899101,0.12641537559413513,0.3436656423539014,2.0527266835699e-4,0.00913334781803725,0.00837123030908201,0.4929618639624794,9,7,0.5,30
86,1.229612403125056,89.87772061338615,0.3293682736508036,0.24169765991352268,0.00135016723825438,5.8351099929154e-4,0.02016678228262989,0.3015878492613006,9,7,0.5,30
87,0.5449317308543346,20.23022036265034,0.5586430673152066,0.05706983616865406,0.01193605072229908,7.1299620821363e-4,0.09294975774912637,0.4322283074127579,9,7,0.5,30
88,0.6587008912142689,4.423756116848887,1.3432586940679927,0.02140123014513917,0.0677665006941366,0.00172869195951226,0.299958183589589,0.7444156184644085,9,7,0.5,30
89,0.1373440759599718,1.1038336559822817,4.20458215849454,0.01035209744932346,0.18815920409877987,0.00728045748610316,0.20418675590433297,0.7714203083356291,9,7,0.5,30
90,0.11657380479141986,0.26702670815102897,1.7534450191981867,0.01036560262135071,0.22308291665627392,0.05299540272761621,0.04343321462903709,1.4832333697015947,9,7,0.5,30
91,0.7542173361127464,0.14203742390194185,0.5639087452974538,0.02359385991033773,0.05929823261029672,0.48285399412707775,0.03479355387874425,9.579139685007998,9,7,0.5,30
92,13.75224498216331,2.333626305152394,0.6986251030138465,0.09352025571155231,0.02398995838534219,1.5065383087633286,0.04432206282597166,28.17649656696332,9,7,0.5,30
93,21.44583868698645,141.13599516646673,16.07360065986094,0.3278140362958581,0.0347361110536749,0.05118290486167208,0.04548024913921752,1.406771580885021,9,7,0.5,30
94,5.7316469114274495,218.98045259386353,109.9431099164891,0.28848898076818436,0.1602487040921916,8.4019389355052e-4,0.00634173606159969,0.2690438520450334,9,7,0.5,30
95,1.102061140994588,61.027170160313766,54.06885668306393,0.09428441180417234,0.19107011700238288,3.3668969037787e-4,7.4225097543849e-4,0.23073371322024255,9,7,0.5,30
96,0.286080949588489,13.221571398558064,12.147731559992506,0.02872593005758153,0.0418375085830466,7.4235607859623e-4,5.2124683691186e-4,0.2506998782403052,9,7,0.5,30
97,0.15039363235479844,2.799661672179935,2.5108060219168067,0.01678853262591879,0.0094955411894094,0.00395303341859464,6.5298105678971e-4,0.3494395039203296,9,7,0.5,30
98,0.3970970721773659,0.6544109449388684,0.5153272261579868,0.01928370077489029,0.00281904388010372,0.03500902766661536,0.00114240212779279,0.991895909559646,9,7,0.5,30
99,2.305802965495461,0.6062413178073022,0.11677732093144937,0.03714682570906815,0.00109238234494006,0.2825232377543406,0.00231397961696161,5.647308145568521,9,7,0.5,30
100,14.848010689171309,10.875400044807364,0.05622154277138912,0.14417488037866005,4.580171035946e-4,0.3960074500505422,0.00424951896314218,7.542809977202709,9,7,0.5,30
101,4.5025623941843635,145.15517500122428,0.1407873185149485,0.30873227045378765,2.7183549026772e-4,0.02124321485440759,0.00617348295629181,0.7214948487129792,9,7,0.5,30
102,4.460586163315965,67.22180393902028,0.17577395011937985,0.2720033542901669,9.8393033703943e-4,9.2386539022316e-4,0.01184871831795036,0.2968419133865747,9,7,0.5,30
103,2.700134539658108,22.792277444615245,0.6466502693352351,0.06497463814007091,0.00408515836717126,0.00129140001158151,0.0464225366802228,0.389945922096774,9,7,0.5,30
