Species,Year,Column1,rep,pdoug,type,pd
nu2,34,0,1,18,SNPV only,50% Douglas-fir
nu2,35,0,1,18,SNPV only,50% Douglas-fir
nu2,36,0,1,18,SNPV only,50% Douglas-fir
nu2,37,0,1,18,SNPV only,50% Douglas-fir
nu2,38,0,1,18,SNPV only,50% Douglas-fir
nu2,39,0,1,18,SNPV only,50% Douglas-fir
nu2,40,0,1,18,SNPV only,50% Douglas-fir
nu2,41,0,1,18,SNPV only,50% Douglas-fir
nu2,42,0,1,18,SNPV only,50% Douglas-fir
nu2,43,0,1,18,SNPV only,50% Douglas-fir
nu2,44,0,1,18,SNPV only,50% Douglas-fir
nu2,45,0,1,18,SNPV only,50% Douglas-fir
nu2,46,0,1,18,SNPV only,50% Douglas-fir
nu2,47,0,1,18,SNPV only,50% Douglas-fir
nu2,48,0,1,18,SNPV only,50% Douglas-fir
nu2,49,0,1,18,SNPV only,50% Douglas-fir
nu2,50,0,1,18,SNPV only,50% Douglas-fir
nu2,51,0,1,18,SNPV only,50% Douglas-fir
nu2,52,0,1,18,SNPV only,50% Douglas-fir
nu2,53,0,1,18,SNPV only,50% Douglas-fir
nu2,54,0,1,18,SNPV only,50% Douglas-fir
nu2,55,0,1,18,SNPV only,50% Douglas-fir
nu2,56,0,1,18,SNPV only,50% Douglas-fir
nu2,57,0,1,18,SNPV only,50% Douglas-fir
nu2,58,0,1,18,SNPV only,50% Douglas-fir
nu2,59,0,1,18,SNPV only,50% Douglas-fir
nu2,60,0,1,18,SNPV only,50% Douglas-fir
nu2,61,0,1,18,SNPV only,50% Douglas-fir
nu2,62,0,1,18,SNPV only,50% Douglas-fir
nu2,63,0,1,18,SNPV only,50% Douglas-fir
nu2,64,0,1,18,SNPV only,50% Douglas-fir
nu2,65,0,1,18,SNPV only,50% Douglas-fir
nu2,66,0,1,18,SNPV only,50% Douglas-fir
nu2,67,0,1,18,SNPV only,50% Douglas-fir
nu2,68,0,1,18,SNPV only,50% Douglas-fir
nu2,69,0,1,18,SNPV only,50% Douglas-fir
nu2,70,0,1,18,SNPV only,50% Douglas-fir
nu2,71,0,1,18,SNPV only,50% Douglas-fir
nu2,72,0,1,18,SNPV only,50% Douglas-fir
nu2,73,0,1,18,SNPV only,50% Douglas-fir
nu2,74,0,1,18,SNPV only,50% Douglas-fir
nu2,75,0,1,18,SNPV only,50% Douglas-fir
nu2,76,0,1,18,SNPV only,50% Douglas-fir
nu2,77,0,1,18,SNPV only,50% Douglas-fir
nu2,78,0,1,18,SNPV only,50% Douglas-fir
nu2,79,0,1,18,SNPV only,50% Douglas-fir
nu2,80,0,1,18,SNPV only,50% Douglas-fir
nu2,81,0,1,18,SNPV only,50% Douglas-fir
nu2,82,0,1,18,SNPV only,50% Douglas-fir
nu2,83,0,1,18,SNPV only,50% Douglas-fir
nu2,84,0,1,18,SNPV only,50% Douglas-fir
nu2,85,0,1,18,SNPV only,50% Douglas-fir
nu2,86,0,1,18,SNPV only,50% Douglas-fir
nu2,87,0,1,18,SNPV only,50% Douglas-fir
nu2,88,0,1,18,SNPV only,50% Douglas-fir
nu2,89,0,1,18,SNPV only,50% Douglas-fir
nu2,90,0,1,18,SNPV only,50% Douglas-fir
nu2,91,0,1,18,SNPV only,50% Douglas-fir
nu2,92,0,1,18,SNPV only,50% Douglas-fir
nu2,93,0,1,18,SNPV only,50% Douglas-fir
nu2,94,0,1,18,SNPV only,50% Douglas-fir
nu2,95,0,1,18,SNPV only,50% Douglas-fir
nu2,96,0,1,18,SNPV only,50% Douglas-fir
nu2,97,0,1,18,SNPV only,50% Douglas-fir
nu2,98,0,1,18,SNPV only,50% Douglas-fir
nu2,99,0,1,18,SNPV only,50% Douglas-fir
nu2,100,0,1,18,SNPV only,50% Douglas-fir
nu2,101,0,1,18,SNPV only,50% Douglas-fir
nu2,102,0,1,18,SNPV only,50% Douglas-fir
nu2,103,0,1,18,SNPV only,50% Douglas-fir
nu2,104,0,1,18,SNPV only,50% Douglas-fir
nu2,105,0,1,18,SNPV only,50% Douglas-fir
nu2,106,0,1,18,SNPV only,50% Douglas-fir
nu2,107,0,1,18,SNPV only,50% Douglas-fir
nu2,108,0,1,18,SNPV only,50% Douglas-fir
nu2,109,0,1,18,SNPV only,50% Douglas-fir
nu2,110,0,1,18,SNPV only,50% Douglas-fir
nu2,111,0,1,18,SNPV only,50% Douglas-fir
nu2,112,0,1,18,SNPV only,50% Douglas-fir
nu2,113,0,1,18,SNPV only,50% Douglas-fir
nu2,114,0,1,18,SNPV only,50% Douglas-fir
nu2,115,0,1,18,SNPV only,50% Douglas-fir
nu2,116,0,1,18,SNPV only,50% Douglas-fir
nu2,117,0,1,18,SNPV only,50% Douglas-fir
nu2,118,0,1,18,SNPV only,50% Douglas-fir
nu2,119,0,1,18,SNPV only,50% Douglas-fir
nu2,120,0,1,18,SNPV only,50% Douglas-fir
nu2,121,0,1,18,SNPV only,50% Douglas-fir
nu2,122,0,1,18,SNPV only,50% Douglas-fir
nu2,123,0,1,18,SNPV only,50% Douglas-fir
nu2,124,0,1,18,SNPV only,50% Douglas-fir
nu2,125,0,1,18,SNPV only,50% Douglas-fir
nu2,126,0,1,18,SNPV only,50% Douglas-fir
