Species,Year,Column1,rep,pdoug,sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma
Z2,157,8.523318122954986,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,158,1.7503612205665966,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,159,0.4943560716643075,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,160,0.6635318413466553,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,161,17.73202398582249,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,162,184.17999716549664,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,163,62.144342923139924,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,164,13.111322137369555,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,165,3.1002290026586126,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,166,0.8033660697797886,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,167,0.6311853894759547,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,168,5.747554606874327,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,169,202.00053686357498,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,170,205.55153184620144,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,171,49.15753878460112,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,172,10.722899062853077,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,173,2.3135932635006338,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,174,0.568095537286797,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,175,0.30597307646416344,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,176,2.8383399149874897,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,177,205.54245541364259,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,178,364.6112072836135,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,179,135.38329677300874,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,180,31.00516365754703,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,181,6.705339461890001,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,182,1.4208776948173258,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,183,0.31431625303908556,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,184,0.1261037027220948,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,185,2.0063827534389396,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,186,424.890154791247,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,187,252.96490477452744,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,188,52.57443140257346,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,189,10.664959063565046,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,190,2.1634850438583304,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,191,0.4522509234557522,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,192,0.10322619883813076,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,193,0.1038109370462474,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,194,50.08832365859578,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,195,246.75294877486684,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,196,72.99345420208539,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,197,15.81237696603859,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,198,3.3031231553063334,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,199,0.7014291566620032,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,200,0.24499285481211167,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
Z2,201,4.275120923365083,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,1,0.09999999999999999,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,2,0.14120537760323293,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,3,0.02243700119520018,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,4,0.0009994433947861808,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,5,0.00028109488253821397,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,6,0.00029547711963739606,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,7,0.00046057970627150555,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,8,0.0009302054987380137,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,9,0.0020470726383339387,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,10,0.0043806219892494865,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,11,0.0059248150633511515,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,12,0.008359834550672861,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,13,0.023188503116227024,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,14,0.1488581706484195,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,15,0.39849367012982967,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,16,0.040747964891493474,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,17,0.0060073613399609215,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,18,0.00562461494182912,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,19,0.006489615722966571,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,20,0.006231511170051442,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,21,0.003328814086393605,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,22,0.0031301802963587147,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,23,0.005496736803135236,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,24,0.012845956406087844,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,25,0.03078965947181909,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,26,0.07068776785568727,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,27,0.1372347414988105,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,28,0.06608751518294884,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,29,0.001141866639619716,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,30,0.0003995230331779586,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,31,0.00046062685523016035,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,32,0.0007924809693270617,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,33,0.0016762882340784929,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,34,0.003677681278138051,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,35,0.006435225175496493,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,36,0.008458100350251447,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,37,0.01887874805020063,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,38,0.1084098332584293,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,39,0.8433595215911281,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,40,0.6821281246968933,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,41,0.04108364295521357,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,42,0.0104974602708998,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,43,0.003997522721183787,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
